dataset,variant,model,aic,objective,n_params,mixture_proportion,params_json,source_file,nominal_ratio
RESISTANT_500,point,dyn,12079.053261806104,6033.526630903052,6,0.9411936911610669,"[0.9411936912, 0.878, 0.878, 7.6040524923, 3.145106359, 0.0]",RESISTANT_500.mat,
RESISTANT_500,point,hl,14514.5276548449,7251.26382742245,6,,"[0.06, 0.8780000003, 8.5808387245, 2.9950340671, 723.5033132018, 281.5402800403]",RESISTANT_500.mat,
RESISTANT_500_HL_MONO,point,sto,11911.6325326776,5949.8162663388,6,1.0,"[1.0, 0.934646476, 0.878, 11.6943702176, 1.892681471, 100.0]",RESISTANT_500_HL_MONO.mat,
RESISTANT_500_HL_MONO,point,dyn,12079.0532618059,6033.52663090295,6,0.9411936944330496,"[0.9411936944, 0.878, 0.878, 7.6040461898, 3.1451100512, 5.39244e-05]",RESISTANT_500_HL_MONO.mat,
RESISTANT_500_HL_MONO,point,hl,16886.058856761665,8437.029428380833,6,,"[0.06, 0.878, 7.0876792965, 4.5459929551, 1005.1388057057, 479.0622946306]",RESISTANT_500_HL_MONO.mat,
SENSITIVE_1000,point,sto,15937.102386010416,7962.551193005208,6,1.0,"[1.0, 0.9557529325, 0.9464288451, 0.7328623797, 1.2187467848, 100.0]",SENSITIVE_1000.mat,
SENSITIVE_1000,point,dyn,16360.139787942597,8174.069893971298,6,1.0,"[1.0, 0.9340924517, 0.9309451893, 0.5255680256, 1.6200296039, 100.0]",SENSITIVE_1000.mat,
SENSITIVE_1000,point,hl,15304.87587643936,7646.43793821968,6,,"[0.0464933984, 0.9320154146, 0.5962477626, 0.9478972783, 1443.9967939721, 388.7421537961]",SENSITIVE_1000.mat,
SENSITIVE_1000_HL_MONO,point,sto,15937.1023860101,7962.55119300505,6,1.0,"[1.0, 0.9557529393, 0.9464288322, 0.7328634249, 1.2187461968, 100.0]",SENSITIVE_1000_HL_MONO.mat,
SENSITIVE_1000_HL_MONO,point,dyn,16360.139787943304,8174.069893971652,6,1.0,"[1.0, 0.9340924501, 0.9309452069, 0.5255676411, 1.6200310844, 100.0]",SENSITIVE_1000_HL_MONO.mat,
SENSITIVE_1000_HL_MONO,point,hl,17977.479074660932,8982.739537330466,6,,"[0.0568851353, 0.9341802745, 0.6306411018, 1.2638505099, 1257.5886172325, 906.6234211735]",SENSITIVE_1000_HL_MONO.mat,
SENSITIVE_500,point,sto,14020.53027196804,7004.26513598402,6,1.0,"[1.0, 0.9529660728, 0.9508695916, 0.3010895362, 1.4596170667, 66.3535463995]",SENSITIVE_500.mat,
SENSITIVE_500,point,dyn,15776.22049533035,7882.110247665175,6,1.0,"[1.0, 0.9400545721, 0.939578312, 0.4513058462, 1.3909779063, 100.0]",SENSITIVE_500.mat,
SENSITIVE_500,point,hl,13680.749298431168,6834.374649215584,6,,"[0.0439248499, 0.9543037494, 0.2801354595, 2.0268947212, 530.193695589, 180.9262058134]",SENSITIVE_500.mat,
SENSITIVE_500_HL_MONO,point,sto,14020.530271967946,7004.265135983973,6,1.0,"[1.0, 0.9529660678, 0.9508696125, 0.3010893369, 1.4596170016, 66.3535160692]",SENSITIVE_500_HL_MONO.mat,
SENSITIVE_500_HL_MONO,point,dyn,15776.220495331803,7882.110247665902,6,1.0,"[1.0, 0.9400545605, 0.939578272, 0.4513062559, 1.3909744146, 100.0]",SENSITIVE_500_HL_MONO.mat,
SENSITIVE_500_HL_MONO,point,hl,16067.179767590282,8027.589883795141,6,,"[0.0564361106, 0.9445721808, 0.3639633418, 1.2333030666, 531.5184015543, 369.4825013144]",SENSITIVE_500_HL_MONO.mat,
SENSITIVE_500_HL_MONO_new,point,sto,14030.42264773749,7009.211323868745,6,1.0,"[1.0, 0.9526793509, 0.9499533608, 0.3523500593, 1.2407998177, 66.6826786053]",SENSITIVE_500_HL_MONO_new.mat,
SENSITIVE_500_HL_MONO_new,point,dyn,15865.994229883285,7926.997114941642,6,1.0,"[1.0, 0.9402207819, 0.9387970842, 0.5568772244, 1.2670839356, 100.0]",SENSITIVE_500_HL_MONO_new.mat,
SENSITIVE_500_HL_MONO_new,point,hl,16124.90457361057,8056.452286805285,6,,"[0.0566869018, 0.9440830477, 0.4176924715, 1.1112379314, 506.7470672359, 385.8596615604]",SENSITIVE_500_HL_MONO_new.mat,
